school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob
GP,F,17,U,GT3,T,1,1,at_home,services
GP,M,17,U,GT3,T,1,2,at_home,services
GP,M,16,R,GT3,T,3,3,services,services
GP,M,16,U,GT3,T,2,3,other,other
GP,F,17,U,LE3,T,2,4,services,services
GP,M,17,U,GT3,T,4,4,services,teacher
GP,M,16,R,LE3,T,3,3,teacher,other
GP,F,17,U,GT3,T,4,4,services,teacher
GP,F,16,U,LE3,T,4,4,teacher,teacher
GP,F,16,U,GT3,T,4,3,health,other
GP,F,16,U,GT3,T,2,3,other,other
GP,F,17,U,GT3,T,1,1,other,other
GP,F,17,R,GT3,T,2,2,other,other
GP,F,16,R,GT3,T,2,2,services,services
GP,F,17,U,GT3,T,3,4,at_home,services
GP,F,16,U,GT3,A,3,1,services,other
GP,F,16,U,GT3,T,4,3,teacher,other
GP,F,16,U,GT3,T,1,1,at_home,other
GP,F,17,R,GT3,T,4,3,teacher,other
GP,F,19,U,GT3,T,3,3,other,other
GP,M,17,U,LE3,T,4,4,services,other
GP,F,16,U,GT3,A,2,2,other,other
GP,M,18,U,GT3,T,2,2,services,other
GP,F,17,R,LE3,T,4,4,services,other
GP,F,17,U,LE3,T,3,2,other,other
GP,F,17,U,GT3,T,4,3,other,other
GP,M,18,U,LE3,T,3,3,services,health
GP,F,17,U,GT3,T,2,3,at_home,other
GP,F,17,U,GT3,T,2,2,at_home,at_home
GP,F,17,R,GT3,T,2,1,at_home,services
GP,F,17,U,GT3,T,1,1,at_home,other
GP,F,16,U,GT3,T,2,3,services,teacher
GP,M,18,U,GT3,T,2,2,other,other
GP,F,16,U,GT3,T,4,4,teacher,services
GP,F,18,R,GT3,T,3,1,other,other
GP,F,17,U,GT3,T,3,2,other,other
GP,M,17,U,LE3,T,2,3,services,services
GP,M,18,U,LE3,T,2,1,at_home,other
GP,F,17,U,GT3,A,2,1,other,other
GP,F,17,U,LE3,T,4,3,health,other
GP,M,17,R,GT3,T,2,2,other,other
GP,M,17,U,GT3,T,4,4,teacher,teacher
GP,M,16,U,GT3,T,4,4,health,other
GP,M,16,U,LE3,T,1,1,other,other
GP,M,16,U,GT3,T,3,2,at_home,other
GP,M,17,U,LE3,T,2,2,other,other
GP,F,16,U,GT3,T,2,1,other,other
GP,F,17,R,GT3,T,2,1,at_home,services
GP,M,18,U,GT3,T,2,2,other,services
GP,M,17,U,LE3,T,4,3,health,other
GP,M,17,R,LE3,A,4,4,teacher,other
GP,M,16,U,LE3,T,4,3,teacher,other
GP,M,16,U,GT3,T,4,4,services,services
GP,F,18,U,GT3,T,2,1,other,other
GP,M,16,U,GT3,T,2,1,other,other
GP,M,17,U,GT3,T,2,3,other,other
GP,M,22,U,GT3,T,3,1,services,services
GP,M,18,R,LE3,T,3,3,other,services
GP,M,16,U,GT3,T,0,2,other,other
GP,M,18,U,GT3,T,3,2,services,other
GP,M,16,U,GT3,T,3,3,at_home,other
GP,M,18,U,GT3,T,2,1,services,services
GP,M,16,R,GT3,T,2,1,other,other
GP,M,17,R,GT3,T,2,1,other,other
GP,M,17,U,LE3,T,1,1,health,other
GP,F,17,U,LE3,T,4,2,teacher,services
GP,M,19,U,LE3,A,4,3,services,at_home
GP,M,18,U,GT3,T,2,1,other,other
GP,F,17,U,LE3,T,2,2,services,services
GP,F,18,U,GT3,T,4,3,services,other
GP,M,18,U,GT3,T,4,3,teacher,other
GP,M,18,R,GT3,T,3,2,other,other
GP,F,17,U,GT3,T,3,3,other,other
GP,F,18,U,GT3,T,2,2,at_home,services
GP,M,18,R,LE3,A,3,4,other,other
GP,M,17,U,GT3,T,3,1,services,other
GP,F,18,R,GT3,T,4,4,teacher,other
GP,M,18,U,GT3,T,4,2,health,other
GP,F,18,R,GT3,T,2,1,other,other
GP,F,19,U,GT3,T,3,3,other,services
GP,F,18,U,GT3,T,2,3,other,services
GP,F,18,U,LE3,T,1,1,other,other
GP,M,17,R,GT3,T,1,2,at_home,at_home
GP,F,17,U,GT3,T,2,4,at_home,health
GP,F,17,U,LE3,T,2,2,services,other
GP,F,18,R,GT3,A,3,2,other,services
GP,M,18,U,GT3,T,4,4,teacher,services
GP,F,18,U,GT3,T,4,4,health,health
GP,M,18,U,LE3,T,4,3,teacher,services
GP,M,17,U,LE3,A,4,1,services,other
GP,M,17,U,LE3,A,3,2,teacher,services
GP,F,18,R,LE3,T,1,1,at_home,other
GP,F,18,U,GT3,T,1,1,other,other
GP,F,17,U,GT3,T,2,2,other,other
GP,M,17,U,GT3,T,1,1,other,other
GP,F,18,U,GT3,T,2,2,at_home,at_home
GP,F,17,U,GT3,T,1,1,services,teacher
GP,M,18,U,GT3,T,2,1,services,services
GP,M,18,U,LE3,A,4,4,teacher,teacher
GP,M,18,U,GT3,T,4,2,teacher,other
GP,F,17,U,GT3,T,4,3,health,services
GP,F,18,U,LE3,T,2,1,services,at_home
GP,F,17,R,LE3,T,3,1,services,other
GP,M,18,R,LE3,T,3,2,services,other
GP,M,17,U,GT3,T,3,3,health,other
GP,F,19,U,GT3,T,4,4,health,other
GP,F,18,U,LE3,T,4,3,other,other
GP,F,18,U,GT3,T,4,3,other,other
GP,M,18,U,LE3,T,4,4,teacher,teacher
GP,F,18,U,LE3,A,4,4,health,other
GP,M,17,U,LE3,T,4,4,other,teacher
GP,F,17,U,GT3,T,4,2,other,other
GP,F,17,U,GT3,T,3,2,health,health
GP,M,19,U,GT3,T,3,3,other,other
GP,F,18,U,GT3,T,2,4,services,at_home
GP,M,20,U,GT3,A,3,2,services,other
GP,M,19,U,GT3,T,4,4,teacher,services
GP,M,19,R,GT3,T,3,3,other,services
GP,F,19,U,LE3,T,1,1,at_home,other
GP,F,19,U,LE3,T,1,2,services,services
GP,F,19,U,GT3,T,2,1,at_home,other
GP,M,19,U,GT3,T,1,2,other,services
GP,F,19,U,LE3,T,3,2,services,other
GP,F,19,U,GT3,T,1,1,at_home,health
GP,F,19,R,GT3,T,2,3,other,other
GP,F,18,U,GT3,T,2,1,services,other
GP,F,18,U,GT3,T,4,3,other,other
GP,F,17,R,GT3,T,3,4,at_home,services
GP,F,18,U,GT3,T,4,4,teacher,other
GP,F,17,U,GT3,A,4,3,services,services
GP,F,17,U,GT3,T,2,2,other,other
GP,F,17,R,LE3,T,2,2,services,services
GP,F,17,U,GT3,T,3,1,services,services
GP,F,17,U,LE3,T,0,2,at_home,at_home
GP,M,18,U,GT3,T,4,4,other,other
GP,M,17,U,GT3,T,3,3,other,services
GP,M,17,R,GT3,T,2,2,services,other
GP,F,17,U,GT3,T,4,4,teacher,services
GP,F,17,U,GT3,T,4,4,teacher,teacher
GP,M,18,U,LE3,T,2,2,other,other
GP,F,17,R,GT3,T,2,4,at_home,other
GP,F,18,U,GT3,T,3,3,services,services
GP,F,18,U,LE3,T,2,2,other,other
GP,F,18,R,GT3,T,2,2,at_home,other
GP,F,17,U,GT3,T,3,4,services,other
GP,F,19,R,GT3,A,3,1,services,at_home
GP,F,17,U,GT3,T,3,2,other,other
GP,F,18,U,LE3,T,3,3,services,services
GP,F,17,R,GT3,A,3,2,other,other
GP,F,19,U,GT3,T,2,1,services,services
GP,M,18,U,GT3,T,4,4,teacher,services
GP,M,18,U,LE3,T,3,4,services,other
GP,F,17,U,GT3,A,2,2,at_home,at_home
GP,F,18,U,GT3,T,2,3,at_home,other
GP,F,18,U,GT3,T,3,2,other,services
GP,M,18,R,GT3,T,4,3,teacher,services
GP,M,18,U,GT3,T,4,3,teacher,other
GP,F,17,U,GT3,T,4,3,health,other
MS,M,18,R,GT3,T,3,2,other,other
MS,M,19,R,GT3,T,1,1,other,services
MS,M,17,U,GT3,T,3,3,health,other
MS,M,18,U,LE3,T,1,3,at_home,services
MS,M,19,R,GT3,T,1,1,other,other
MS,M,17,R,GT3,T,4,3,services,other
MS,F,18,U,GT3,T,3,3,services,services
MS,F,17,R,GT3,T,4,4,teacher,services
MS,F,17,U,LE3,A,3,2,services,other
MS,M,18,U,LE3,T,1,1,other,services
MS,F,18,U,LE3,T,1,1,at_home,services
MS,F,18,R,LE3,A,1,4,at_home,other
MS,M,18,R,LE3,T,1,1,at_home,other
MS,F,18,U,GT3,T,3,3,services,services
MS,F,17,U,LE3,T,4,4,at_home,at_home
MS,F,17,R,GT3,T,1,2,other,services
MS,M,18,R,GT3,T,1,3,at_home,other
MS,M,18,U,LE3,T,4,4,teacher,services
MS,F,17,R,GT3,T,1,1,other,services
MS,F,18,U,GT3,T,2,3,at_home,services
MS,F,18,R,GT3,T,4,4,other,teacher
MS,F,19,U,LE3,T,3,2,services,services
MS,M,18,R,LE3,T,1,2,at_home,services
MS,F,17,U,GT3,T,2,2,other,at_home
MS,F,17,R,GT3,T,1,2,other,other
MS,F,18,R,LE3,T,4,4,other,other
MS,F,18,R,GT3,T,1,1,other,other
MS,F,20,U,GT3,T,4,2,health,other
MS,F,18,R,LE3,T,4,4,teacher,services
MS,F,18,U,GT3,T,3,3,other,other
MS,F,17,R,GT3,T,3,1,at_home,other
MS,M,18,U,GT3,T,4,4,teacher,teacher
MS,M,18,R,GT3,T,2,1,other,other
MS,M,17,U,GT3,T,2,3,other,services
MS,M,19,R,GT3,T,1,1,other,services
MS,M,18,R,GT3,T,4,2,other,other
MS,F,18,R,GT3,T,2,2,at_home,other
MS,F,18,R,GT3,T,4,4,teacher,at_home
MS,F,19,R,GT3,T,2,3,services,other
MS,F,18,U,LE3,T,3,1,teacher,services
MS,F,18,U,GT3,T,1,1,other,other
MS,M,20,U,LE3,A,2,2,services,services
MS,M,17,U,LE3,T,3,1,services,services
MS,M,21,R,GT3,T,1,1,other,other
MS,M,18,R,LE3,T,3,2,services,other
MS,M,19,U,LE3,T,1,1,other,at_home
